dataset,model,horizon_len,n_windows,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std
ESNet,Chronos-2,4321,3,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658
ESNet,DLinear,4321,3,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103
ESNet,PatchTST,4321,3,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175
ESNet,TimeMixer,4321,3,1.4671628507744217,0.15092260830802526,0.23142953045649461,0.005451135724874025,0.2194630706477444,0.006197268790853372,5.108468516784277e-05,3.635807262498487e-05
ETTh1,Chronos-2,96,5,0.04077231828833328,0.032616614611101734,0.1508288790161411,0.07677809336098278,0.10364076959972568,0.06953070930834757,0.02676233007773716,0.03514198267850975
ETTh1,DLinear,96,5,0.04041563017783652,0.0281756837530488,0.1532468245471652,0.057462206523204794,0.08073591849841852,0.04895733614902973,0.010825418428470958,0.007648019839821027
ETTh1,PatchTST,96,5,0.046454985483191116,0.03304177853362666,0.16713117146289957,0.06313217420907385,0.08970080052050453,0.04715821703842018,0.02175461219844118,0.03285780535384917
ETTh1,TimeMixer,96,5,0.0511376316511243,0.030261788716252635,0.17446758284319913,0.06996961896282078,0.09966565563142374,0.05536842125168404,0.02425008629517841,0.03268324826837703
ETTh1,iTransformer,96,5,0.026896235302855287,0.008761111276511182,0.13066309397016246,0.02076079734445941,0.060638272480338665,0.022978560874083714,0.02603277147255325,0.02136942971430227
ETTm1,Chronos-2,96,5,0.029555753602931306,0.04006357123888051,0.12061162429551284,0.08535333905758465,0.09588636939702197,0.09928353452849462,0.009894600883735635,0.011003076939274992
ETTm1,DLinear,96,5,0.02109277012724482,0.02673738705358911,0.09894576636528082,0.06283899266754808,0.043078576588729024,0.02924158422292929,0.04085538814804833,0.05589418405583448
ETTm1,PatchTST,96,5,0.02712208073369392,0.038288636201505764,0.11142578435993669,0.08385261876128355,0.06092337767540348,0.05789927998793288,0.037693157230236286,0.04638422238172293
ETTm1,TimeMixer,96,5,0.028484780971481216,0.04289491874724724,0.10984531915665215,0.09570620395586164,0.0747308126613053,0.09589923868588517,0.013474039514455721,0.019257619726267224
ETTm1,iTransformer,96,5,0.03211321972325182,0.05304634496208708,0.12026394411145817,0.10790769899257746,0.08739055563462143,0.12074273542525585,0.015799734313138674,0.0179466037390985
ETTm2,Chronos-2,96,5,0.04677365687137966,0.03955120718172111,0.16421061311654434,0.07406859928279616,0.10711940077489941,0.06714593523992869,0.006754692595691089,0.008117675348912995
ETTm2,DLinear,96,5,0.04848138006729409,0.011213222744712434,0.18088835383387353,0.017490281220377737,0.0856113750496942,0.015100714207642698,0.01397280141538236,0.009752591319885989
ETTm2,PatchTST,96,5,0.04287573031485409,0.016083877971575775,0.1529941412697926,0.030754936520812137,0.0841198124556493,0.04116686438413099,0.009221891514763606,0.011545789016943933
ETTm2,TimeMixer,96,5,0.04744749699981082,0.008691358937131258,0.16894289720730166,0.016298985263852126,0.0880841499857537,0.02712727967738677,0.010143808567702434,0.01096152458854498
ETTm2,iTransformer,96,5,0.08152517742588736,0.06042081890722697,0.22488200651898277,0.09188677136422181,0.11250128854781209,0.0583345083695077,0.01708376107029297,0.016555939240266455
Weather,Chronos-2,96,5,0.0005494898147173286,0.0004936513350658769,0.01726294085227285,0.009896035072553381,0.007708750009001422,0.004991498306638951,0.0395024107227267,0.011512676953380133
Weather,DLinear,96,5,0.0014892352820103972,0.0010577767949034686,0.029149701535451693,0.013082323077974859,0.015542149667164582,0.006723044473504552,0.04151959547318042,0.03612796628984365
Weather,PatchTST,96,5,0.0008188639312713692,0.0007520590620201659,0.01995316037496519,0.010611289239009575,0.006227673670117914,0.003228354114171973,0.037829247337369275,0.027045619779945414
Weather,TimeMixer,96,5,0.0010343948510280036,0.0005450995487646671,0.025819872832678364,0.010752647168883906,0.013607905101713617,0.009799750751024934,0.025303651532432532,0.019833606442926387
Weather,iTransformer,96,5,0.0013441582552982546,0.0007954603020537809,0.029658921430932312,0.012440183810132134,0.022406293396435302,0.011551168506334015,0.016730700427173464,0.02391723637672374
