dataset,model,horizon_len,n_windows,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,mse_mean_pm_std,mae_mean_pm_std,dtw_mean_pm_std,tdi_mean_pm_std
ESNet,Chronos-2,4321,3,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658,1.4789 $\pm$ 0.1468,0.2066 $\pm$ 0.0182,0.1751 $\pm$ 0.0438,0.0151 $\pm$ 0.0251
ESNet,DLinear,4321,3,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103,1.4777 $\pm$ 0.1460,0.2040 $\pm$ 0.0170,0.1524 $\pm$ 0.0145,0.0025 $\pm$ 0.0004
ESNet,PatchTST,4321,3,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175,1.4794 $\pm$ 0.1433,0.2144 $\pm$ 0.0153,0.1891 $\pm$ 0.0075,0.0003 $\pm$ 0.0003
ESNet,TimeMixer,4321,3,1.4671628507744217,0.15092260830802526,0.23142953045649461,0.005451135724874025,0.2194630706477444,0.006197268790853372,5.108468516784277e-05,3.635807262498487e-05,1.4672 $\pm$ 0.1509,0.2314 $\pm$ 0.0055,0.2195 $\pm$ 0.0062,0.0001 $\pm$ 0.0000
ETTh1,Chronos-2,720,4,0.1430954717345242,0.06705622984920227,0.29753126806269087,0.0741685471179016,0.17760545965396107,0.07564934148685752,0.02108969315209392,0.016542323012836032,0.1431 $\pm$ 0.0671,0.2975 $\pm$ 0.0742,0.1776 $\pm$ 0.0756,0.0211 $\pm$ 0.0165
ETTh1,DLinear,720,4,0.07078147471825394,0.02694494393408335,0.208351457344015,0.0439163776366091,0.09196619451591206,0.03337193829366013,0.026314172062525443,0.016772178276685153,0.0708 $\pm$ 0.0269,0.2084 $\pm$ 0.0439,0.0920 $\pm$ 0.0334,0.0263 $\pm$ 0.0168
ETTh1,PatchTST,720,4,0.11917472992048969,0.037510561782274236,0.2758946051256187,0.04978999013201107,0.11147825179224174,0.05735094744308551,0.01917083727140629,0.010968846329369614,0.1192 $\pm$ 0.0375,0.2759 $\pm$ 0.0498,0.1115 $\pm$ 0.0574,0.0192 $\pm$ 0.0110
ETTh1,TimeMixer,720,4,0.131292557227667,0.10648544037100569,0.2900087459774334,0.13993284136809364,0.13453931542143627,0.10203195220804502,0.029113907441487064,0.019351095023144062,0.1313 $\pm$ 0.1065,0.2900 $\pm$ 0.1399,0.1345 $\pm$ 0.1020,0.0291 $\pm$ 0.0194
ETTh1,iTransformer,720,4,0.08189988619726193,0.04564037337246985,0.21301100730032588,0.06206983094949178,0.11651201850159666,0.042743486214538044,0.008773702053873626,0.003589078424533995,0.0819 $\pm$ 0.0456,0.2130 $\pm$ 0.0621,0.1165 $\pm$ 0.0427,0.0088 $\pm$ 0.0036
ETTm1,Chronos-2,720,5,0.04396764984070107,0.012745278394696304,0.17251275988916556,0.033169884119323825,0.09231467362711698,0.036738445145614425,0.008910524076915954,0.008475581191766767,0.0440 $\pm$ 0.0127,0.1725 $\pm$ 0.0332,0.0923 $\pm$ 0.0367,0.0089 $\pm$ 0.0085
ETTm1,DLinear,720,5,0.03790232974206304,0.011854813825315915,0.1599376390111224,0.03147417622937903,0.06632508024664115,0.015234975834641036,0.01736570758028197,0.01723345624864732,0.0379 $\pm$ 0.0119,0.1599 $\pm$ 0.0315,0.0663 $\pm$ 0.0152,0.0174 $\pm$ 0.0172
ETTm1,PatchTST,720,5,0.062478869541297125,0.03914772192117212,0.20218552857908634,0.07200969562935007,0.09845419116344405,0.031203810396762167,0.037891106766624855,0.03391929485819992,0.0625 $\pm$ 0.0391,0.2022 $\pm$ 0.0720,0.0985 $\pm$ 0.0312,0.0379 $\pm$ 0.0339
ETTm1,TimeMixer,720,5,0.03708139546094254,0.011509255556262737,0.15883019336650792,0.029223802036580288,0.06604940504427097,0.024351218422781006,0.03600006423639926,0.05259819688884502,0.0371 $\pm$ 0.0115,0.1588 $\pm$ 0.0292,0.0660 $\pm$ 0.0244,0.0360 $\pm$ 0.0526
ETTm1,iTransformer,720,5,0.03326830070748317,0.005613220667704892,0.15106325453241468,0.017116496856384743,0.0756483286408018,0.02353840248917206,0.008201569431618051,0.006678482992122832,0.0333 $\pm$ 0.0056,0.1511 $\pm$ 0.0171,0.0756 $\pm$ 0.0235,0.0082 $\pm$ 0.0067
ETTm2,Chronos-2,720,5,0.2640529756557137,0.18401369347741697,0.39367207137616383,0.15962452711651606,0.1927467547586591,0.08348275823556893,0.015424132621923606,0.01976524248264179,0.2641 $\pm$ 0.1840,0.3937 $\pm$ 0.1596,0.1927 $\pm$ 0.0835,0.0154 $\pm$ 0.0198
ETTm2,DLinear,720,5,0.13027624360217033,0.0814826790279991,0.2872291546658715,0.09469018932621444,0.12082919637147724,0.03607482496351939,0.004580898805240357,0.007248433662938264,0.1303 $\pm$ 0.0815,0.2872 $\pm$ 0.0947,0.1208 $\pm$ 0.0361,0.0046 $\pm$ 0.0072
ETTm2,PatchTST,720,5,0.14049349655736704,0.11338667344157184,0.2971064209952133,0.1304955848926134,0.12853112532811,0.05693875801964644,0.005151344297062526,0.006734174519373337,0.1405 $\pm$ 0.1134,0.2971 $\pm$ 0.1305,0.1285 $\pm$ 0.0569,0.0052 $\pm$ 0.0067
ETTm2,TimeMixer,720,5,0.14452859706732035,0.11430116307735998,0.29284252396486693,0.13346972288436476,0.12184501025958436,0.05845770939697734,0.006083936610934122,0.009634038657827646,0.1445 $\pm$ 0.1143,0.2928 $\pm$ 0.1335,0.1218 $\pm$ 0.0585,0.0061 $\pm$ 0.0096
ETTm2,iTransformer,720,5,0.11860570700081308,0.07052242169853191,0.27376129863997695,0.08004928898551403,0.12344678540990442,0.026812671243038606,0.008049745710404874,0.007538982203046663,0.1186 $\pm$ 0.0705,0.2738 $\pm$ 0.0800,0.1234 $\pm$ 0.0268,0.0080 $\pm$ 0.0075
Weather,Chronos-2,720,5,0.0014521055351929303,0.0014343117927437996,0.026667805637813825,0.01344811651684094,0.014407424284610332,0.009372524477542204,0.03378410055595422,0.031365196549527206,0.0015 $\pm$ 0.0014,0.0267 $\pm$ 0.0134,0.0144 $\pm$ 0.0094,0.0338 $\pm$ 0.0314
Weather,DLinear,720,5,0.0014652461942339975,0.001287392000924365,0.028153792969550645,0.011779876406917734,0.013325205939451423,0.00868126492073162,0.011874274810191019,0.015417661504487349,0.0015 $\pm$ 0.0013,0.0282 $\pm$ 0.0118,0.0133 $\pm$ 0.0087,0.0119 $\pm$ 0.0154
Weather,PatchTST,720,5,0.0013979834157107855,0.0011589310323929548,0.027996693798977162,0.010371064058810022,0.012604192749952937,0.008253568802349813,0.025191459800158512,0.026174227649213778,0.0014 $\pm$ 0.0012,0.0280 $\pm$ 0.0104,0.0126 $\pm$ 0.0083,0.0252 $\pm$ 0.0262
Weather,TimeMixer,720,5,0.001340701735584584,0.000916187405873653,0.029106869290137505,0.008938148081664224,0.017400788001641947,0.006126260621272413,0.005401112786061358,0.004822187686232364,0.0013 $\pm$ 0.0009,0.0291 $\pm$ 0.0089,0.0174 $\pm$ 0.0061,0.0054 $\pm$ 0.0048
Weather,iTransformer,720,5,0.0012937544311655905,0.0008273746997439317,0.02890206346540607,0.008138781753753885,0.021742613843310294,0.0071456487374311475,0.0033460174776568296,0.004760031718677971,0.0013 $\pm$ 0.0008,0.0289 $\pm$ 0.0081,0.0217 $\pm$ 0.0071,0.0033 $\pm$ 0.0048
